,APPS
2014-12-24,3.2200000286102295
2014-12-26,3.2200000286102295
2014-12-29,3.259999990463257
2014-12-30,3.299999952316284
2014-12-31,3.3299999237060547
2015-01-02,3.549999952316284
2015-01-05,3.4100000858306885
2015-01-06,3.4600000381469727
2015-01-07,3.450000047683716
2015-01-08,3.2799999713897705
2015-01-09,3.25
2015-01-12,3.009999990463257
2015-01-13,3.0799999237060547
2015-01-14,3.1500000953674316
2015-01-15,3.309999942779541
2015-01-16,3.259999990463257
2015-01-20,3.140000104904175
2015-01-21,3.0
2015-01-22,2.990000009536743
2015-01-23,2.890000104904175
2015-01-26,2.7899999618530273
2015-01-27,2.9700000286102295
2015-01-28,2.9600000381469727
2015-01-29,3.259999990463257
2015-01-30,3.3299999237060547
2015-02-02,3.119999885559082
2015-02-03,3.259999990463257
2015-02-04,3.1700000762939453
2015-02-05,3.1600000858306885
2015-02-06,3.1700000762939453
2015-02-09,3.180000066757202
2015-02-10,3.1500000953674316
2015-02-11,3.0999999046325684
2015-02-12,3.1600000858306885
2015-02-13,3.5299999713897705
2015-02-17,3.3499999046325684
2015-02-18,3.2899999618530273
2015-02-19,3.299999952316284
2015-02-20,3.319999933242798
2015-02-23,3.319999933242798
2015-02-24,3.549999952316284
2015-02-25,3.7100000381469727
2015-02-26,3.6600000858306885
2015-02-27,3.609999895095825
2015-03-02,3.9600000381469727
2015-03-03,4.0
2015-03-04,4.090000152587891
2015-03-05,4.03000020980835
2015-03-06,3.940000057220459
2015-03-09,3.9200000762939453
2015-03-10,3.7300000190734863
2015-03-11,3.630000114440918
2015-03-12,3.8499999046325684
2015-03-13,3.7699999809265137
2015-03-16,3.799999952316284
2015-03-17,3.8399999141693115
2015-03-18,3.880000114440918
2015-03-19,3.4600000381469727
2015-03-20,3.509999990463257
2015-03-23,3.4200000762939453
2015-03-24,3.5
2015-03-25,3.299999952316284
2015-03-26,3.2300000190734863
2015-03-27,3.1700000762939453
2015-03-30,3.2799999713897705
2015-03-31,3.259999990463257
2015-04-01,3.2699999809265137
2015-04-02,3.3399999141693115
2015-04-06,3.380000114440918
2015-04-07,3.4000000953674316
2015-04-08,3.380000114440918
2015-04-09,3.4100000858306885
2015-04-10,3.5899999141693115
2015-04-13,3.9000000953674316
2015-04-14,3.819999933242798
2015-04-15,4.059999942779541
2015-04-16,4.099999904632568
2015-04-17,4.03000020980835
2015-04-20,3.9800000190734863
2015-04-21,4.0
2015-04-22,3.819999933242798
2015-04-23,3.890000104904175
2015-04-24,3.8299999237060547
2015-04-27,3.9200000762939453
2015-04-28,3.9000000953674316
2015-04-29,3.6600000858306885
2015-04-30,3.630000114440918
2015-05-01,3.5199999809265137
2015-05-04,3.509999990463257
2015-05-05,3.5
2015-05-06,3.609999895095825
2015-05-07,3.9000000953674316
2015-05-08,3.8499999046325684
2015-05-11,3.7899999618530273
2015-05-12,3.7200000286102295
2015-05-13,3.619999885559082
2015-05-14,3.7100000381469727
2015-05-15,3.819999933242798
2015-05-18,3.869999885559082
2015-05-19,3.859999895095825
2015-05-20,3.950000047683716
2015-05-21,3.990000009536743
2015-05-22,4.230000019073486
2015-05-26,4.090000152587891
2015-05-27,4.269999980926514
2015-05-28,4.28000020980835
2015-05-29,4.179999828338623
2015-06-01,4.010000228881836
2015-06-02,4.0
2015-06-03,4.019999980926514
2015-06-04,4.0
2015-06-05,4.03000020980835
2015-06-08,4.179999828338623
2015-06-09,4.21999979019165
2015-06-10,4.03000020980835
2015-06-11,3.5899999141693115
2015-06-12,3.5899999141693115
2015-06-15,3.4200000762939453
2015-06-16,3.299999952316284
2015-06-17,3.190000057220459
2015-06-18,3.059999942779541
2015-06-19,3.130000114440918
2015-06-22,3.359999895095825
2015-06-23,3.25
2015-06-24,3.3299999237060547
2015-06-25,3.4700000286102295
2015-06-26,3.319999933242798
2015-06-29,3.0199999809265137
2015-06-30,3.0199999809265137
2015-07-01,2.950000047683716
2015-07-02,2.880000114440918
2015-07-06,2.880000114440918
2015-07-07,2.7699999809265137
2015-07-08,2.680000066757202
2015-07-09,2.5899999141693115
2015-07-10,2.9600000381469727
2015-07-13,2.9000000953674316
2015-07-14,2.859999895095825
2015-07-15,2.740000009536743
2015-07-16,2.8299999237060547
2015-07-17,2.690000057220459
2015-07-20,2.549999952316284
2015-07-21,2.549999952316284
2015-07-22,2.5899999141693115
2015-07-23,2.609999895095825
2015-07-24,2.5399999618530273
2015-07-27,2.4100000858306885
2015-07-28,2.5799999237060547
2015-07-29,2.4600000381469727
2015-07-30,2.4200000762939453
2015-07-31,2.430000066757202
2015-08-03,2.509999990463257
2015-08-04,2.5
2015-08-05,2.559999942779541
2015-08-06,2.5299999713897705
2015-08-07,2.549999952316284
2015-08-10,2.549999952316284
2015-08-11,2.3299999237060547
2015-08-12,2.2899999618530273
2015-08-13,2.369999885559082
2015-08-14,2.359999895095825
2015-08-17,2.3499999046325684
2015-08-18,2.2899999618530273
2015-08-19,2.380000114440918
2015-08-20,2.2899999618530273
2015-08-21,2.359999895095825
2015-08-24,2.25
2015-08-25,2.2100000381469727
2015-08-26,2.319999933242798
2015-08-27,2.3499999046325684
2015-08-28,2.430000066757202
2015-08-31,2.609999895095825
2015-09-01,2.4700000286102295
2015-09-02,2.240000009536743
2015-09-03,2.1600000858306885
2015-09-04,2.0999999046325684
2015-09-08,2.130000114440918
2015-09-09,2.009999990463257
2015-09-10,2.0899999141693115
2015-09-11,2.059999942779541
2015-09-14,1.9900000095367432
2015-09-15,1.9900000095367432
2015-09-16,2.140000104904175
2015-09-17,2.1500000953674316
2015-09-18,2.109999895095825
2015-09-21,2.009999990463257
2015-09-22,2.0
2015-09-23,1.850000023841858
2015-09-24,1.7999999523162842
2015-09-25,1.7699999809265137
2015-09-28,1.7100000381469727
2015-09-29,1.850000023841858
2015-09-30,1.809999942779541
2015-10-01,1.75
2015-10-02,1.7699999809265137
2015-10-05,1.8700000047683716
2015-10-06,1.8300000429153442
2015-10-07,1.899999976158142
2015-10-08,1.9199999570846558
2015-10-09,1.75
2015-10-12,1.75
2015-10-13,1.659999966621399
2015-10-14,1.590000033378601
2015-10-15,1.7000000476837158
2015-10-16,1.6399999856948853
2015-10-19,1.6299999952316284
2015-10-20,1.6100000143051147
2015-10-21,1.590000033378601
2015-10-22,1.5199999809265137
2015-10-23,1.6799999475479126
2015-10-26,1.6799999475479126
2015-10-27,1.7000000476837158
2015-10-28,1.7599999904632568
2015-10-29,1.690000057220459
2015-10-30,1.659999966621399
2015-11-02,1.6399999856948853
2015-11-03,1.590000033378601
2015-11-04,1.5099999904632568
2015-11-05,1.6100000143051147
2015-11-06,1.6100000143051147
2015-11-09,1.5800000429153442
2015-11-10,1.559999942779541
2015-11-11,1.5299999713897705
2015-11-12,1.4900000095367432
2015-11-13,1.4299999475479126
2015-11-16,1.4199999570846558
2015-11-17,1.4299999475479126
2015-11-18,1.5199999809265137
2015-11-19,1.4900000095367432
2015-11-20,1.4900000095367432
2015-11-23,1.5299999713897705
2015-11-24,1.5199999809265137
2015-11-25,1.4900000095367432
2015-11-27,1.4900000095367432
2015-11-30,1.5399999618530273
2015-12-01,1.5099999904632568
2015-12-02,1.5099999904632568
2015-12-03,1.4900000095367432
2015-12-04,1.5
2015-12-07,1.440000057220459
2015-12-08,1.4299999475479126
2015-12-09,1.4299999475479126
2015-12-10,1.409999966621399
2015-12-11,1.350000023841858
2015-12-14,1.25
2015-12-15,1.2699999809265137
2015-12-16,1.5
2015-12-17,1.4700000286102295
2015-12-18,1.4800000190734863
2015-12-21,1.4900000095367432
2015-12-22,1.5199999809265137
2015-12-23,1.4800000190734863
2015-12-24,1.4700000286102295
2015-12-28,1.399999976158142
2015-12-29,1.350000023841858
2015-12-30,1.3300000429153442
2015-12-31,1.3300000429153442
2016-01-04,1.2699999809265137
2016-01-05,1.350000023841858
2016-01-06,1.2799999713897705
2016-01-07,1.2000000476837158
2016-01-08,1.2000000476837158
2016-01-11,1.149999976158142
2016-01-12,1.159999966621399
2016-01-13,1.0800000429153442
2016-01-14,1.1299999952316284
2016-01-15,1.090000033378601
2016-01-19,0.9900000095367432
2016-01-20,1.0199999809265137
2016-01-21,1.090000033378601
2016-01-22,1.090000033378601
2016-01-25,1.0399999618530273
2016-01-26,1.059999942779541
2016-01-27,1.0199999809265137
2016-01-28,1.090000033378601
2016-01-29,1.3200000524520874
2016-02-01,1.2699999809265137
2016-02-02,1.3899999856948853
2016-02-03,1.350000023841858
2016-02-04,1.3799999952316284
2016-02-05,1.25
2016-02-08,1.3700000047683716
2016-02-09,1.2799999713897705
2016-02-10,1.2000000476837158
2016-02-11,1.2000000476837158
2016-02-12,1.2100000381469727
2016-02-16,1.1399999856948853
2016-02-17,1.100000023841858
2016-02-18,1.1200000047683716
2016-02-19,1.1399999856948853
2016-02-22,1.1100000143051147
2016-02-23,1.0499999523162842
2016-02-24,1.1100000143051147
2016-02-25,1.1100000143051147
2016-02-26,1.1200000047683716
2016-02-29,1.1299999952316284
2016-03-01,1.1299999952316284
2016-03-02,1.1799999475479126
2016-03-03,1.2300000190734863
2016-03-04,1.350000023841858
2016-03-07,1.340000033378601
2016-03-08,1.3899999856948853
2016-03-09,1.350000023841858
2016-03-10,1.2699999809265137
2016-03-11,1.340000033378601
2016-03-14,1.2699999809265137
2016-03-15,1.0499999523162842
2016-03-16,1.149999976158142
2016-03-17,1.1299999952316284
2016-03-18,1.159999966621399
2016-03-21,1.1100000143051147
2016-03-22,1.0800000429153442
2016-03-23,1.059999942779541
2016-03-24,1.100000023841858
2016-03-28,1.100000023841858
2016-03-29,1.159999966621399
2016-03-30,1.1799999475479126
2016-03-31,1.190000057220459
2016-04-01,1.149999976158142
2016-04-04,1.1200000047683716
2016-04-05,1.0499999523162842
2016-04-06,1.0700000524520874
2016-04-07,1.0299999713897705
2016-04-08,1.0299999713897705
2016-04-11,1.0
2016-04-12,0.8600000143051147
2016-04-13,1.0099999904632568
2016-04-14,0.9700000286102295
2016-04-15,1.0
2016-04-18,1.0
2016-04-19,0.9900000095367432
2016-04-20,0.9800000190734863
2016-04-21,0.9800000190734863
2016-04-22,0.9700000286102295
2016-04-25,0.949999988079071
2016-04-26,0.9800000190734863
2016-04-27,0.9599999785423279
2016-04-28,0.8899999856948853
2016-04-29,0.8600000143051147
2016-05-02,0.8399999737739563
2016-05-03,0.8100000023841858
2016-05-04,0.800000011920929
2016-05-05,0.8199999928474426
2016-05-06,0.8500000238418579
2016-05-09,0.8799999952316284
2016-05-10,0.8899999856948853
2016-05-11,0.8199999928474426
2016-05-12,0.8500000238418579
2016-05-13,0.8199999928474426
2016-05-16,0.7900000214576721
2016-05-17,0.8199999928474426
2016-05-18,0.7799999713897705
2016-05-19,0.75
2016-05-20,0.800000011920929
2016-05-23,0.8600000143051147
2016-05-24,0.9399999976158142
2016-05-25,1.100000023841858
2016-05-26,1.059999942779541
2016-05-27,1.059999942779541
2016-05-31,1.0399999618530273
2016-06-01,1.090000033378601
2016-06-02,1.100000023841858
2016-06-03,1.059999942779541
2016-06-06,1.0800000429153442
2016-06-07,1.0499999523162842
2016-06-08,1.0800000429153442
2016-06-09,1.0399999618530273
2016-06-10,1.0
2016-06-13,1.0700000524520874
2016-06-14,1.0399999618530273
2016-06-15,1.0499999523162842
2016-06-16,1.059999942779541
2016-06-17,1.090000033378601
2016-06-20,1.1299999952316284
2016-06-21,1.0800000429153442
2016-06-22,1.059999942779541
2016-06-23,1.0700000524520874
2016-06-24,1.0499999523162842
2016-06-27,1.0399999618530273
2016-06-28,1.0099999904632568
2016-06-29,1.0299999713897705
2016-06-30,1.0700000524520874
2016-07-01,1.0499999523162842
2016-07-05,1.1399999856948853
2016-07-06,1.0299999713897705
2016-07-07,1.090000033378601
2016-07-08,1.1200000047683716
2016-07-11,1.0800000429153442
2016-07-12,1.0499999523162842
2016-07-13,1.090000033378601
2016-07-14,1.090000033378601
2016-07-15,1.1200000047683716
2016-07-18,1.1399999856948853
2016-07-19,1.2799999713897705
2016-07-20,1.2999999523162842
2016-07-21,1.2699999809265137
2016-07-22,1.2400000095367432
2016-07-25,1.2200000286102295
2016-07-26,1.2100000381469727
2016-07-27,1.2300000190734863
2016-07-28,1.2100000381469727
2016-07-29,1.1200000047683716
2016-08-01,1.100000023841858
2016-08-02,1.059999942779541
2016-08-03,1.100000023841858
2016-08-04,1.0800000429153442
2016-08-05,1.1100000143051147
2016-08-08,1.0700000524520874
2016-08-09,1.1200000047683716
2016-08-10,1.090000033378601
2016-08-11,1.0299999713897705
2016-08-12,1.0299999713897705
2016-08-15,1.0
2016-08-16,0.9800000190734863
2016-08-17,0.9900000095367432
2016-08-18,1.0499999523162842
2016-08-19,1.0099999904632568
2016-08-22,0.9900000095367432
2016-08-23,1.100000023841858
2016-08-24,1.1299999952316284
2016-08-25,1.1299999952316284
2016-08-26,1.1299999952316284
2016-08-29,1.2899999618530273
2016-08-30,1.2599999904632568
2016-08-31,1.3899999856948853
2016-09-01,1.2300000190734863
2016-09-02,1.440000057220459
2016-09-06,1.4700000286102295
2016-09-07,1.440000057220459
2016-09-08,1.3799999952316284
2016-09-09,1.3799999952316284
2016-09-12,1.3700000047683716
2016-09-13,1.3300000429153442
2016-09-14,1.2999999523162842
2016-09-15,1.2999999523162842
2016-09-16,1.2799999713897705
2016-09-19,1.2999999523162842
2016-09-20,1.2699999809265137
2016-09-21,1.2300000190734863
2016-09-22,1.2400000095367432
2016-09-23,1.0
2016-09-26,0.9700000286102295
2016-09-27,1.0099999904632568
2016-09-28,0.9900000095367432
2016-09-29,1.0
2016-09-30,1.0499999523162842
2016-10-03,1.0800000429153442
2016-10-04,1.0399999618530273
2016-10-05,1.059999942779541
2016-10-06,1.0199999809265137
2016-10-07,1.0099999904632568
2016-10-10,1.0
2016-10-11,0.8799999952316284
2016-10-12,0.8500000238418579
2016-10-13,0.8399999737739563
2016-10-14,0.8299999833106995
2016-10-17,0.8600000143051147
2016-10-18,0.8500000238418579
2016-10-19,0.7900000214576721
2016-10-20,0.8299999833106995
2016-10-21,0.8299999833106995
2016-10-24,0.8199999928474426
2016-10-25,0.800000011920929
2016-10-26,0.75
2016-10-27,0.7400000095367432
2016-10-28,0.7200000286102295
2016-10-31,0.699999988079071
2016-11-01,0.6899999976158142
2016-11-02,0.6499999761581421
2016-11-03,0.6000000238418579
2016-11-04,0.6499999761581421
2016-11-07,0.6899999976158142
2016-11-08,0.6800000071525574
2016-11-09,0.75
2016-11-10,0.699999988079071
2016-11-11,0.7799999713897705
2016-11-14,0.8399999737739563
2016-11-15,0.9300000071525574
2016-11-16,0.8999999761581421
2016-11-17,0.9300000071525574
2016-11-18,0.9300000071525574
2016-11-21,0.8999999761581421
2016-11-22,0.8799999952316284
2016-11-23,0.8899999856948853
2016-11-25,0.8799999952316284
2016-11-28,0.800000011920929
2016-11-29,0.800000011920929
2016-11-30,0.7799999713897705
2016-12-01,0.699999988079071
2016-12-02,0.699999988079071
2016-12-05,0.6200000047683716
2016-12-06,0.6100000143051147
2016-12-07,0.6200000047683716
2016-12-08,0.5899999737739563
2016-12-09,0.6499999761581421
2016-12-12,0.699999988079071
2016-12-13,0.7400000095367432
2016-12-14,0.7200000286102295
2016-12-15,0.699999988079071
2016-12-16,0.6800000071525574
2016-12-19,0.6899999976158142
2016-12-20,0.7099999785423279
2016-12-21,0.7300000190734863
2016-12-22,0.699999988079071
2016-12-23,0.6800000071525574
2016-12-27,0.699999988079071
2016-12-28,0.7099999785423279
2016-12-29,0.6800000071525574
2016-12-30,0.6800000071525574
2017-01-03,0.699999988079071
2017-01-04,0.699999988079071
2017-01-05,0.699999988079071
2017-01-06,0.6800000071525574
2017-01-09,0.7200000286102295
2017-01-10,0.699999988079071
2017-01-11,0.699999988079071
2017-01-12,0.6899999976158142
2017-01-13,0.699999988079071
2017-01-17,0.6700000166893005
2017-01-18,0.6800000071525574
2017-01-19,0.6700000166893005
2017-01-20,0.6899999976158142
2017-01-23,0.6600000262260437
2017-01-24,0.6700000166893005
2017-01-25,0.6899999976158142
2017-01-26,0.7099999785423279
2017-01-27,0.699999988079071
2017-01-30,0.699999988079071
2017-01-31,0.6800000071525574
2017-02-01,0.7200000286102295
2017-02-02,0.7099999785423279
2017-02-03,0.6899999976158142
2017-02-06,0.6899999976158142
2017-02-07,0.699999988079071
2017-02-08,0.699999988079071
2017-02-09,0.7099999785423279
2017-02-10,0.7300000190734863
2017-02-13,0.699999988079071
2017-02-14,0.699999988079071
2017-02-15,0.699999988079071
2017-02-16,0.7200000286102295
2017-02-17,0.8100000023841858
2017-02-21,0.800000011920929
2017-02-22,0.8399999737739563
2017-02-23,0.8399999737739563
2017-02-24,0.8199999928474426
2017-02-27,0.8299999833106995
2017-02-28,0.8700000047683716
2017-03-01,0.8700000047683716
2017-03-02,0.8999999761581421
2017-03-03,0.8999999761581421
2017-03-06,0.8500000238418579
2017-03-07,0.8100000023841858
2017-03-08,0.8199999928474426
2017-03-09,0.8700000047683716
2017-03-10,0.8899999856948853
2017-03-13,0.9200000166893005
2017-03-14,0.8899999856948853
2017-03-15,0.8600000143051147
2017-03-16,0.8999999761581421
2017-03-17,0.9100000262260437
2017-03-20,0.8799999952316284
2017-03-21,0.8799999952316284
2017-03-22,0.8999999761581421
2017-03-23,0.949999988079071
2017-03-24,0.9200000166893005
2017-03-27,0.9100000262260437
2017-03-28,0.8799999952316284
2017-03-29,0.9399999976158142
2017-03-30,0.9599999785423279
2017-03-31,0.9399999976158142
2017-04-03,0.9100000262260437
2017-04-04,0.9100000262260437
2017-04-05,0.9200000166893005
2017-04-06,0.9200000166893005
2017-04-07,0.9399999976158142
2017-04-10,0.9300000071525574
2017-04-11,0.9300000071525574
2017-04-12,0.9300000071525574
2017-04-13,0.9300000071525574
2017-04-17,0.9100000262260437
2017-04-18,0.8799999952316284
2017-04-19,0.8899999856948853
2017-04-20,0.8999999761581421
2017-04-21,0.9399999976158142
2017-04-24,0.949999988079071
2017-04-25,0.9800000190734863
2017-04-26,1.0199999809265137
2017-04-27,1.0700000524520874
2017-04-28,1.1299999952316284
2017-05-01,1.159999966621399
2017-05-02,1.1799999475479126
2017-05-03,1.190000057220459
2017-05-04,1.159999966621399
2017-05-05,1.1699999570846558
2017-05-08,1.1799999475479126
2017-05-09,1.25
2017-05-10,1.2400000095367432
2017-05-11,1.2100000381469727
2017-05-12,1.2000000476837158
2017-05-15,1.190000057220459
2017-05-16,1.159999966621399
2017-05-17,1.1399999856948853
2017-05-18,1.1799999475479126
2017-05-19,1.2000000476837158
2017-05-22,1.1699999570846558
2017-05-23,1.1699999570846558
2017-05-24,1.1399999856948853
2017-05-25,1.1699999570846558
2017-05-26,1.1799999475479126
2017-05-30,1.100000023841858
2017-05-31,1.1100000143051147
2017-06-01,1.059999942779541
2017-06-02,1.059999942779541
2017-06-05,1.0199999809265137
2017-06-06,1.0
2017-06-07,1.0
2017-06-08,1.0099999904632568
2017-06-09,1.0399999618530273
2017-06-12,0.9900000095367432
2017-06-13,1.0
2017-06-14,0.9800000190734863
2017-06-15,1.0299999713897705
2017-06-16,1.0399999618530273
2017-06-19,1.0299999713897705
2017-06-20,1.0299999713897705
2017-06-21,1.0399999618530273
2017-06-22,1.0800000429153442
2017-06-23,1.090000033378601
2017-06-26,1.0800000429153442
2017-06-27,1.0800000429153442
2017-06-28,1.059999942779541
2017-06-29,1.0399999618530273
2017-06-30,1.0299999713897705
2017-07-03,0.9900000095367432
2017-07-05,1.0099999904632568
2017-07-06,1.0199999809265137
2017-07-07,1.0499999523162842
2017-07-10,1.0099999904632568
2017-07-11,1.0199999809265137
2017-07-12,1.0299999713897705
2017-07-13,1.0499999523162842
2017-07-14,1.090000033378601
2017-07-17,1.100000023841858
2017-07-18,1.1299999952316284
2017-07-19,1.1100000143051147
2017-07-20,1.0700000524520874
2017-07-21,1.0800000429153442
2017-07-24,1.1200000047683716
2017-07-25,1.059999942779541
2017-07-26,1.0800000429153442
2017-07-27,1.100000023841858
2017-07-28,1.100000023841858
2017-07-31,1.1100000143051147
2017-08-01,1.090000033378601
2017-08-02,1.0800000429153442
2017-08-03,1.100000023841858
2017-08-04,1.090000033378601
2017-08-07,1.100000023841858
2017-08-08,1.1200000047683716
2017-08-09,1.1100000143051147
2017-08-10,1.0399999618530273
2017-08-11,1.090000033378601
2017-08-14,1.2000000476837158
2017-08-15,1.2000000476837158
2017-08-16,1.159999966621399
2017-08-17,1.2000000476837158
2017-08-18,1.2200000286102295
2017-08-21,1.159999966621399
2017-08-22,1.2100000381469727
2017-08-23,1.1799999475479126
2017-08-24,1.1799999475479126
2017-08-25,1.2000000476837158
2017-08-28,1.159999966621399
2017-08-29,1.159999966621399
2017-08-30,1.149999976158142
2017-08-31,1.159999966621399
2017-09-01,1.1699999570846558
2017-09-05,1.1699999570846558
2017-09-06,1.1699999570846558
2017-09-07,1.2999999523162842
2017-09-08,1.340000033378601
2017-09-11,1.3600000143051147
2017-09-12,1.3600000143051147
2017-09-13,1.3700000047683716
2017-09-14,1.3600000143051147
2017-09-15,1.3700000047683716
2017-09-18,1.3700000047683716
2017-09-19,1.3700000047683716
2017-09-20,1.3700000047683716
2017-09-21,1.340000033378601
2017-09-22,1.3600000143051147
2017-09-25,1.350000023841858
2017-09-26,1.3300000429153442
2017-09-27,1.3700000047683716
2017-09-28,1.4600000381469727
2017-09-29,1.5099999904632568
2017-10-02,1.5399999618530273
2017-10-03,1.5499999523162842
2017-10-04,1.5099999904632568
2017-10-05,1.5199999809265137
2017-10-06,1.5499999523162842
2017-10-09,1.5800000429153442
2017-10-10,1.600000023841858
2017-10-11,1.600000023841858
2017-10-12,1.600000023841858
2017-10-13,1.6100000143051147
2017-10-16,1.559999942779541
2017-10-17,1.409999966621399
2017-10-18,1.4600000381469727
2017-10-19,1.4600000381469727
2017-10-20,1.440000057220459
2017-10-23,1.440000057220459
2017-10-24,1.4800000190734863
2017-10-25,1.4800000190734863
2017-10-26,1.5299999713897705
2017-10-27,1.5800000429153442
2017-10-30,1.559999942779541
2017-10-31,1.5700000524520874
2017-11-01,1.5700000524520874
2017-11-02,1.5700000524520874
2017-11-03,1.5800000429153442
2017-11-06,1.5800000429153442
2017-11-07,1.5700000524520874
2017-11-08,1.5800000429153442
2017-11-09,1.4900000095367432
2017-11-10,1.4800000190734863
2017-11-13,1.590000033378601
2017-11-14,1.6100000143051147
2017-11-15,1.5700000524520874
2017-11-16,1.649999976158142
2017-11-17,1.7599999904632568
2017-11-20,1.7899999618530273
2017-11-21,1.7599999904632568
2017-11-22,1.7899999618530273
2017-11-24,1.7899999618530273
2017-11-27,1.75
2017-11-28,1.840000033378601
2017-11-29,1.7599999904632568
2017-11-30,1.7599999904632568
2017-12-01,1.690000057220459
2017-12-04,1.6699999570846558
2017-12-05,1.6699999570846558
2017-12-06,1.6200000047683716
2017-12-07,1.600000023841858
2017-12-08,1.659999966621399
2017-12-11,1.690000057220459
2017-12-12,1.7999999523162842
2017-12-13,1.850000023841858
2017-12-14,1.8300000429153442
2017-12-15,1.7899999618530273
2017-12-18,1.7999999523162842
2017-12-19,1.7899999618530273
2017-12-20,1.7799999713897705
2017-12-21,1.8600000143051147
2017-12-22,1.8300000429153442
2017-12-26,1.809999942779541
2017-12-27,1.809999942779541
2017-12-28,1.7899999618530273
2017-12-29,1.7899999618530273
2018-01-02,1.7899999618530273
2018-01-03,1.8700000047683716
2018-01-04,1.8600000143051147
2018-01-05,1.9600000381469727
2018-01-08,1.9600000381469727
2018-01-09,1.9299999475479126
2018-01-10,1.9900000095367432
2018-01-11,1.9900000095367432
2018-01-12,1.9900000095367432
2018-01-16,1.9500000476837158
2018-01-17,2.049999952316284
2018-01-18,2.0999999046325684
2018-01-19,2.0999999046325684
2018-01-22,2.119999885559082
2018-01-23,2.0899999141693115
2018-01-24,2.049999952316284
2018-01-25,2.0299999713897705
2018-01-26,2.0299999713897705
2018-01-29,2.059999942779541
2018-01-30,2.0399999618530273
2018-01-31,2.0299999713897705
2018-02-01,2.0399999618530273
2018-02-02,1.9800000190734863
2018-02-05,1.940000057220459
2018-02-06,2.059999942779541
2018-02-07,2.0199999809265137
2018-02-08,2.009999990463257
2018-02-09,2.0899999141693115
2018-02-12,2.200000047683716
2018-02-13,2.319999933242798
2018-02-14,2.450000047683716
2018-02-15,2.4000000953674316
2018-02-16,2.430000066757202
2018-02-20,2.359999895095825
2018-02-21,2.4100000858306885
2018-02-22,2.259999990463257
2018-02-23,2.3499999046325684
2018-02-26,2.3399999141693115
2018-02-27,2.299999952316284
2018-02-28,2.25
2018-03-01,2.259999990463257
2018-03-02,2.319999933242798
2018-03-05,2.2899999618530273
2018-03-06,2.2899999618530273
2018-03-07,2.309999942779541
2018-03-08,2.2699999809265137
2018-03-09,2.3499999046325684
2018-03-12,2.440000057220459
2018-03-13,2.490000009536743
2018-03-14,2.4100000858306885
2018-03-15,2.509999990463257
2018-03-16,2.490000009536743
2018-03-19,2.380000114440918
2018-03-20,2.3499999046325684
2018-03-21,2.390000104904175
2018-03-22,2.309999942779541
2018-03-23,2.2799999713897705
2018-03-26,2.109999895095825
2018-03-27,2.0799999237060547
2018-03-28,2.0199999809265137
2018-03-29,2.009999990463257
2018-04-02,2.009999990463257
2018-04-03,2.0199999809265137
2018-04-04,2.0199999809265137
2018-04-05,2.2100000381469727
2018-04-06,2.0899999141693115
2018-04-09,1.9199999570846558
2018-04-10,1.8600000143051147
2018-04-11,1.7999999523162842
2018-04-12,1.840000033378601
2018-04-13,1.7000000476837158
2018-04-16,1.75
2018-04-17,1.75
2018-04-18,1.7599999904632568
2018-04-19,1.7100000381469727
2018-04-20,1.7000000476837158
2018-04-23,1.7200000286102295
2018-04-24,1.659999966621399
2018-04-25,1.6399999856948853
2018-04-26,1.7300000190734863
2018-04-27,1.6100000143051147
2018-04-30,1.590000033378601
2018-05-01,1.7200000286102295
2018-05-02,1.7300000190734863
2018-05-03,1.6799999475479126
2018-05-04,1.659999966621399
2018-05-07,1.6799999475479126
2018-05-08,1.690000057220459
2018-05-09,1.6699999570846558
2018-05-10,1.7000000476837158
2018-05-11,1.690000057220459
2018-05-14,1.6200000047683716
2018-05-15,1.5800000429153442
2018-05-16,1.6399999856948853
2018-05-17,1.7100000381469727
2018-05-18,1.7999999523162842
2018-05-21,1.7400000095367432
2018-05-22,1.6699999570846558
2018-05-23,1.6799999475479126
2018-05-24,1.6399999856948853
2018-05-25,1.6200000047683716
2018-05-29,1.600000023841858
2018-05-30,1.809999942779541
2018-05-31,1.8600000143051147
2018-06-01,1.809999942779541
2018-06-04,1.7400000095367432
2018-06-05,1.7100000381469727
2018-06-06,1.6699999570846558
2018-06-07,1.6799999475479126
2018-06-08,1.7000000476837158
2018-06-11,1.7200000286102295
2018-06-12,1.8799999952316284
2018-06-13,1.5700000524520874
2018-06-14,1.5099999904632568
2018-06-15,1.6200000047683716
2018-06-18,1.649999976158142
2018-06-19,1.6699999570846558
2018-06-20,1.649999976158142
2018-06-21,1.6100000143051147
2018-06-22,1.559999942779541
2018-06-25,1.5499999523162842
2018-06-26,1.590000033378601
2018-06-27,1.5299999713897705
2018-06-28,1.5
2018-06-29,1.5099999904632568
2018-07-02,1.4800000190734863
2018-07-03,1.4700000286102295
2018-07-05,1.4500000476837158
2018-07-06,1.4900000095367432
2018-07-09,1.5499999523162842
2018-07-10,1.5
2018-07-11,1.4500000476837158
2018-07-12,1.4500000476837158
2018-07-13,1.4199999570846558
2018-07-16,1.3899999856948853
2018-07-17,1.399999976158142
2018-07-18,1.4199999570846558
2018-07-19,1.4600000381469727
2018-07-20,1.440000057220459
2018-07-23,1.4500000476837158
2018-07-24,1.3799999952316284
2018-07-25,1.3700000047683716
2018-07-26,1.3799999952316284
2018-07-27,1.309999942779541
