,ABTX
2018-06-27,42.849998474121094
2018-06-28,43.599998474121094
2018-06-29,43.349998474121094
2018-07-02,43.54999923706055
2018-07-03,43.54999923706055
2018-07-05,43.849998474121094
2018-07-06,44.20000076293945
2018-07-09,44.900001525878906
2018-07-10,44.29999923706055
2018-07-11,43.95000076293945
2018-07-12,43.599998474121094
2018-07-13,43.650001525878906
2018-07-16,44.0
2018-07-17,44.04999923706055
2018-07-18,44.25
2018-07-19,44.900001525878906
2018-07-20,45.400001525878906
2018-07-23,45.599998474121094
2018-07-24,45.150001525878906
2018-07-25,45.04999923706055
2018-07-26,45.29999923706055
2018-07-27,44.599998474121094
2018-07-30,44.099998474121094
2018-07-31,44.95000076293945
2018-08-01,44.849998474121094
2018-08-02,45.099998474121094
2018-08-03,44.349998474121094
2018-08-06,44.25
2018-08-07,44.349998474121094
2018-08-08,44.75
2018-08-09,44.75
2018-08-10,44.599998474121094
2018-08-13,44.900001525878906
2018-08-14,45.349998474121094
2018-08-15,44.95000076293945
2018-08-16,44.95000076293945
2018-08-17,45.04999923706055
2018-08-20,44.75
2018-08-21,45.099998474121094
2018-08-22,45.45000076293945
2018-08-23,44.900001525878906
2018-08-24,44.75
2018-08-27,44.54999923706055
2018-08-28,44.54999923706055
2018-08-29,44.349998474121094
2018-08-30,44.349998474121094
2018-08-31,44.54999923706055
2018-09-04,44.900001525878906
2018-09-05,44.5
2018-09-06,44.400001525878906
2018-09-07,44.75
2018-09-10,44.04999923706055
2018-09-11,44.95000076293945
2018-09-12,43.75
2018-09-13,43.79999923706055
2018-09-14,44.0
2018-09-17,43.54999923706055
2018-09-18,43.650001525878906
2018-09-19,43.79999923706055
2018-09-20,45.0
2018-09-21,44.75
2018-09-24,43.349998474121094
2018-09-25,42.849998474121094
2018-09-26,40.75
2018-09-27,41.5
2018-09-28,41.70000076293945
2018-10-01,40.61000061035156
2018-10-02,40.810001373291016
2018-10-03,43.09000015258789
2018-10-04,42.130001068115234
2018-10-05,41.310001373291016
2018-10-08,42.27000045776367
2018-10-09,42.25
2018-10-10,41.459999084472656
2018-10-11,39.7599983215332
2018-10-12,39.689998626708984
2018-10-15,39.97999954223633
2018-10-16,40.59000015258789
2018-10-17,40.709999084472656
2018-10-18,40.0
2018-10-19,40.119998931884766
2018-10-22,39.130001068115234
2018-10-23,38.400001525878906
2018-10-24,37.18000030517578
2018-10-25,39.650001525878906
2018-10-26,38.36000061035156
2018-10-29,38.779998779296875
2018-10-30,38.400001525878906
2018-10-31,38.709999084472656
2018-11-01,38.470001220703125
2018-11-02,38.599998474121094
2018-11-05,38.77000045776367
