,BWAY
2021-01-08,8.100000381469727
2021-01-11,7.739999771118164
2021-01-12,7.880000114440918
2021-01-13,8.3100004196167
2021-01-14,8.229999542236328
2021-01-15,8.086000442504883
2021-01-19,7.949999809265137
2021-01-20,8.210000038146973
2021-01-21,10.029999732971191
2021-01-22,9.949999809265137
2021-01-25,9.350000381469727
2021-01-26,9.09000015258789
2021-01-27,8.329999923706055
2021-01-28,8.380000114440918
2021-01-29,7.949999809265137
2021-02-01,7.989999771118164
2021-02-02,8.199999809265137
2021-02-03,8.300000190734863
2021-02-04,8.039999961853027
2021-02-05,7.96999979019165
2021-02-08,8.329999923706055
2021-02-09,8.619999885559082
2021-02-10,9.199999809265137
2021-02-11,9.199999809265137
2021-02-12,9.130000114440918
2021-02-16,9.930000305175781
2021-02-17,9.569999694824219
2021-02-18,9.270000457763672
2021-02-19,9.460000038146973
2021-02-22,10.029999732971191
2021-02-23,8.75
2021-02-24,9.279999732971191
2021-02-25,8.739999771118164
2021-02-26,8.550000190734863
2021-03-01,8.9399995803833
2021-03-02,8.949999809265137
2021-03-03,8.850000381469727
2021-03-04,8.399999618530273
2021-03-05,8.449999809265137
2021-03-08,8.300000190734863
2021-03-09,8.399999618530273
2021-03-10,8.550000190734863
2021-03-11,8.670000076293945
2021-03-12,8.789999961853027
2021-03-15,8.75
2021-03-16,8.649999618530273
2021-03-17,8.619999885559082
2021-03-18,8.600000381469727
2021-03-19,8.479999542236328
2021-03-22,8.550000190734863
2021-03-23,8.550000190734863
2021-03-24,8.550000190734863
2021-03-25,9.050000190734863
2021-03-26,9.319999694824219
2021-03-29,9.100000381469727
2021-03-30,9.149999618530273
2021-03-31,9.029999732971191
2021-04-01,9.369999885559082
2021-04-05,9.5
2021-04-06,9.569999694824219
2021-04-07,9.350000381469727
2021-04-08,9.3100004196167
2021-04-09,9.369999885559082
2021-04-12,9.130000114440918
2021-04-13,9.09000015258789
2021-04-14,9.0600004196167
2021-04-15,9.510000228881836
2021-04-16,9.0600004196167
2021-04-19,8.920000076293945
2021-04-20,8.300000190734863
2021-04-21,8.25
2021-04-22,8.329999923706055
2021-04-23,8.279999732971191
2021-04-26,8.880000114440918
2021-04-27,8.800000190734863
2021-04-28,8.770000457763672
2021-04-29,8.579999923706055
2021-04-30,8.619999885559082
2021-05-03,8.6899995803833
2021-05-04,8.609999656677246
2021-05-05,8.399999618530273
2021-05-06,8.329999923706055
2021-05-07,8.626999855041504
2021-05-10,8.930000305175781
2021-05-11,8.970000267028809
2021-05-12,8.614999771118164
2021-05-13,8.760000228881836
2021-05-14,8.850000381469727
