,EYPT
2008-05-28,49.20000076293945
2008-05-29,48.79999923706055
2008-05-30,48.400001525878906
2008-06-02,46.0
2008-06-03,46.400001525878906
2008-06-04,44.0
2008-06-05,43.20000076293945
2008-06-06,40.79999923706055
2008-06-09,40.400001525878906
2008-06-10,38.0
2008-06-11,31.600000381469727
2008-06-12,38.0
2008-06-13,39.0
2008-06-16,34.099998474121094
2008-06-17,36.20000076293945
2008-06-18,34.900001525878906
2008-06-19,33.79999923706055
2008-06-20,35.0
2008-06-23,32.5
2008-06-24,29.0
2008-06-25,27.5
2008-06-26,26.0
2008-06-27,28.299999237060547
2008-06-30,29.0
2008-07-01,29.0
2008-07-02,28.5
2008-07-03,29.200000762939453
2008-07-07,28.0
2008-07-08,28.299999237060547
2008-07-09,26.5
2008-07-10,27.399999618530273
2008-07-11,29.0
2008-07-14,28.799999237060547
2008-07-15,28.5
2008-07-16,28.0
2008-07-17,27.5
2008-07-18,29.799999237060547
2008-07-21,32.0
2008-07-22,29.799999237060547
2008-07-23,30.700000762939453
2008-07-24,31.899999618530273
2008-07-25,29.0
2008-07-28,31.5
2008-07-29,33.0
2008-07-30,32.79999923706055
2008-07-31,34.0
2008-08-01,31.899999618530273
2008-08-04,32.099998474121094
2008-08-05,31.200000762939453
2008-08-06,29.700000762939453
2008-08-07,30.0
2008-08-08,29.200000762939453
2008-08-11,30.0
2008-08-12,30.399999618530273
2008-08-13,30.299999237060547
2008-08-14,30.200000762939453
2008-08-15,29.399999618530273
2008-08-18,30.0
2008-08-19,32.0
2008-08-20,32.0
2008-08-21,30.700000762939453
2008-08-22,30.0
2008-08-25,30.5
2008-08-26,30.0
2008-08-27,30.0
2008-08-28,28.700000762939453
2008-08-29,32.0
2008-09-02,29.0
2008-09-03,30.200000762939453
2008-09-04,29.0
2008-09-05,29.899999618530273
2008-09-08,30.5
2008-09-09,29.799999237060547
2008-09-10,27.700000762939453
2008-09-11,28.5
2008-09-12,29.0
2008-09-15,27.299999237060547
2008-09-16,27.100000381469727
2008-09-17,28.0
2008-09-18,29.5
2008-09-19,27.399999618530273
2008-09-22,24.5
2008-09-23,28.100000381469727
2008-09-24,28.5
2008-09-25,23.0
2008-09-26,22.100000381469727
2008-09-29,15.5
2008-09-30,14.0
2008-10-01,13.800000190734863
2008-10-02,12.5
2008-10-03,12.0
2008-10-06,11.399999618530273
2008-10-07,9.199999809265137
2008-10-08,11.0
2008-10-09,10.5
2008-10-10,10.0
2008-10-13,11.899999618530273
2008-10-14,11.5
2008-10-15,8.800000190734863
2008-10-16,9.5
2008-10-17,10.399999618530273
2008-10-20,11.800000190734863
2008-10-21,11.300000190734863
2008-10-22,12.5
2008-10-23,13.399999618530273
2008-10-24,13.699999809265137
2008-10-27,13.300000190734863
2008-10-28,15.0
2008-10-29,20.0
2008-10-30,13.800000190734863
2008-10-31,14.0
2008-11-03,12.0
2008-11-04,12.0
2008-11-05,12.0
2008-11-06,11.800000190734863
2008-11-07,11.800000190734863
2008-11-10,11.800000190734863
2008-11-11,11.800000190734863
2008-11-12,11.899999618530273
2008-11-13,11.899999618530273
2008-11-14,11.600000381469727
2008-11-17,11.5
2008-11-18,11.300000190734863
2008-11-19,11.699999809265137
2008-11-20,9.0
2008-11-21,9.0
2008-11-24,11.0
2008-11-25,11.0
2008-11-26,10.699999809265137
2008-11-28,10.699999809265137
2008-12-01,10.800000190734863
2008-12-02,10.899999618530273
2008-12-03,10.899999618530273
2008-12-04,11.0
2008-12-05,10.5
2008-12-08,11.199999809265137
2008-12-09,12.0
2008-12-10,12.0
2008-12-11,12.0
2008-12-12,9.699999809265137
2008-12-15,10.199999809265137
2008-12-16,10.199999809265137
2008-12-17,9.899999618530273
2008-12-18,10.0
2008-12-19,9.0
2008-12-22,9.199999809265137
2008-12-23,9.0
2008-12-24,10.100000381469727
2008-12-26,9.0
2008-12-29,9.600000381469727
2008-12-30,9.600000381469727
2008-12-31,9.399999618530273
2009-01-02,8.899999618530273
2009-01-05,8.800000190734863
2009-01-06,8.899999618530273
2009-01-07,8.600000381469727
2009-01-08,8.899999618530273
2009-01-09,8.699999809265137
2009-01-12,9.899999618530273
2009-01-13,9.899999618530273
2009-01-14,9.899999618530273
2009-01-15,9.899999618530273
2009-01-16,9.899999618530273
2009-01-20,11.100000381469727
2009-01-21,11.0
2009-01-22,10.800000190734863
2009-01-23,10.399999618530273
2009-01-26,10.5
2009-01-27,10.399999618530273
2009-01-28,10.600000381469727
2009-01-29,9.399999618530273
2009-01-30,9.399999618530273
2009-02-02,8.5
2009-02-03,9.399999618530273
2009-02-04,7.800000190734863
2009-02-05,8.199999809265137
2009-02-06,7.5
2009-02-09,8.5
2009-02-10,8.300000190734863
2009-02-11,7.599999904632568
2009-02-12,7.5
2009-02-13,7.5
2009-02-17,7.5
2009-02-18,7.0
2009-02-19,7.0
2009-02-20,7.300000190734863
2009-02-23,8.0
2009-02-24,8.0
2009-02-25,8.0
2009-02-26,8.0
2009-02-27,6.5
2009-03-02,6.5
2009-03-03,6.5
2009-03-04,6.599999904632568
2009-03-05,6.599999904632568
2009-03-06,6.400000095367432
2009-03-09,6.099999904632568
2009-03-10,8.0
2009-03-11,6.199999809265137
2009-03-12,7.5
2009-03-13,7.800000190734863
2009-03-16,7.800000190734863
2009-03-17,7.800000190734863
2009-03-18,8.199999809265137
2009-03-19,8.0
2009-03-20,8.0
2009-03-23,8.0
2009-03-24,8.699999809265137
2009-03-25,9.0
2009-03-26,10.0
2009-03-27,10.0
2009-03-30,10.5
2009-03-31,10.100000381469727
2009-04-01,9.399999618530273
2009-04-02,12.399999618530273
2009-04-03,10.899999618530273
2009-04-06,11.899999618530273
2009-04-07,10.800000190734863
2009-04-08,11.0
2009-04-09,13.0
