,EKSO
2016-11-04,61.95000076293945
2016-11-07,60.75
2016-11-08,61.349998474121094
2016-11-09,64.5
2016-11-10,63.900001525878906
2016-11-11,62.25
2016-11-14,61.5
2016-11-15,60.599998474121094
2016-11-16,60.45000076293945
2016-11-17,61.5
2016-11-18,62.25
2016-11-21,62.849998474121094
2016-11-22,61.5
2016-11-23,66.44999694824219
2016-11-25,71.0999984741211
2016-11-28,67.80000305175781
2016-11-29,66.75
2016-11-30,65.55000305175781
2016-12-01,65.69999694824219
2016-12-02,64.05000305175781
2016-12-05,70.05000305175781
2016-12-06,72.9000015258789
2016-12-07,71.55000305175781
2016-12-08,71.4000015258789
2016-12-09,66.1500015258789
2016-12-12,63.900001525878906
2016-12-13,65.25
2016-12-14,65.4000015258789
2016-12-15,64.5
2016-12-16,65.25
2016-12-19,67.3499984741211
2016-12-20,66.0
2016-12-21,65.0999984741211
2016-12-22,63.150001525878906
2016-12-23,62.099998474121094
2016-12-27,61.650001525878906
2016-12-28,61.95000076293945
2016-12-29,61.20000076293945
2016-12-30,59.70000076293945
2017-01-03,60.900001525878906
2017-01-04,60.150001525878906
2017-01-05,61.20000076293945
2017-01-06,62.400001525878906
2017-01-09,65.55000305175781
2017-01-10,64.05000305175781
2017-01-11,63.599998474121094
2017-01-12,63.45000076293945
2017-01-13,62.25
2017-01-17,62.25
2017-01-18,61.04999923706055
2017-01-19,60.599998474121094
2017-01-20,62.25
2017-01-23,60.75
2017-01-24,61.5
2017-01-25,61.79999923706055
2017-01-26,61.334999084472656
2017-01-27,61.79999923706055
2017-01-30,61.349998474121094
2017-01-31,61.20000076293945
2017-02-01,60.900001525878906
2017-02-02,61.650001525878906
2017-02-03,61.349998474121094
2017-02-06,61.349998474121094
2017-02-07,60.150001525878906
2017-02-08,60.0
2017-02-09,60.599998474121094
2017-02-10,61.20000076293945
2017-02-13,60.75
2017-02-14,60.29999923706055
2017-02-15,59.70000076293945
2017-02-16,59.54999923706055
2017-02-17,57.900001525878906
2017-02-21,56.70000076293945
2017-02-22,56.54999923706055
2017-02-23,53.25
2017-02-24,53.70000076293945
2017-02-27,49.5
2017-02-28,47.54999923706055
2017-03-01,52.349998474121094
2017-03-02,49.650001525878906
2017-03-03,49.79999923706055
2017-03-06,49.5
2017-03-07,48.45000076293945
2017-03-08,49.79999923706055
2017-03-09,48.75
2017-03-10,46.5
2017-03-13,43.95000076293945
2017-03-14,39.45000076293945
2017-03-15,42.75
2017-03-16,41.70000076293945
2017-03-17,48.900001525878906
2017-03-20,53.25
2017-03-21,50.099998474121094
2017-03-22,51.75
2017-03-23,54.150001525878906
2017-03-24,57.45000076293945
2017-03-27,62.849998474121094
2017-03-28,61.95000076293945
2017-03-29,56.70000076293945
2017-03-30,60.0
2017-03-31,61.5
2017-04-03,51.0
2017-04-04,51.900001525878906
2017-04-05,51.599998474121094
2017-04-06,49.5
2017-04-07,51.29999923706055
2017-04-10,49.95000076293945
2017-04-11,48.0
2017-04-12,47.54999923706055
2017-04-13,45.0
2017-04-17,44.70000076293945
2017-04-18,43.95000076293945
2017-04-19,43.5
2017-04-20,42.75
2017-04-21,42.75
2017-04-24,42.75
2017-04-25,42.599998474121094
2017-04-26,42.45000076293945
2017-04-27,43.650001525878906
