,EZJ
2016-02-23,23.136667251586914
2016-02-24,22.68000030517578
2016-02-25,22.68000030517578
2016-02-26,24.06999969482422
2016-02-29,23.383333206176758
2016-03-01,24.323333740234375
2016-03-02,24.81999969482422
2016-03-03,25.389999389648438
2016-03-04,25.893333435058594
2016-03-07,25.350000381469727
2016-03-08,25.02666664123535
2016-03-09,24.836666107177734
2016-03-10,24.389999389648438
2016-03-11,25.920000076293945
2016-03-14,26.200000762939453
2016-03-15,25.40333366394043
2016-03-16,25.579999923706055
2016-03-17,25.739999771118164
2016-03-18,25.5
2016-03-21,25.733333587646484
2016-03-22,26.040000915527344
2016-03-23,25.413333892822266
2016-03-24,25.100000381469727
2016-03-28,25.906667709350586
2016-03-29,25.906667709350586
2016-03-30,26.209999084472656
2016-03-31,25.469999313354492
2016-04-01,24.21666717529297
2016-04-04,24.049999237060547
2016-04-05,23.149999618530273
2016-04-06,23.476667404174805
2016-04-07,23.583332061767578
2016-04-08,25.116666793823242
2016-04-11,25.0
2016-04-12,25.760000228881836
2016-04-13,27.15999984741211
2016-04-14,27.303333282470703
2016-04-15,26.933332443237305
2016-04-18,27.22333335876465
2016-04-19,28.213333129882812
2016-04-20,28.690000534057617
2016-04-21,28.350000381469727
2016-04-22,28.82666778564453
2016-04-25,28.82666778564453
2016-04-26,28.18666648864746
2016-04-27,28.059999465942383
2016-04-28,25.50666618347168
2016-04-29,25.106666564941406
2016-05-02,25.106666564941406
2016-05-03,25.540000915527344
2016-05-04,25.123332977294922
2016-05-05,25.479999542236328
2016-05-06,25.75
2016-05-09,25.753332138061523
2016-05-10,26.8700008392334
2016-05-11,26.8700008392334
2016-05-12,26.343332290649414
2016-05-13,25.690000534057617
2016-05-16,26.226667404174805
2016-05-17,26.286666870117188
2016-05-18,25.953332901000977
2016-05-19,25.600000381469727
2016-05-20,25.889999389648438
2016-05-23,25.843332290649414
2016-05-24,26.15333366394043
2016-05-25,26.520000457763672
2016-05-26,26.5
2016-05-27,26.5
2016-05-31,26.816667556762695
2016-06-01,26.586666107177734
2016-06-02,26.586666107177734
2016-06-03,26.586666107177734
2016-06-06,27.123332977294922
2016-06-07,27.366666793823242
2016-06-08,27.733333587646484
2016-06-09,27.066667556762695
2016-06-10,26.139999389648438
2016-06-13,25.06333351135254
2016-06-14,24.84000015258789
2016-06-15,25.51333236694336
2016-06-16,25.156667709350586
2016-06-17,25.123332977294922
2016-06-20,26.25
2016-06-21,26.893333435058594
2016-06-22,26.893333435058594
2016-06-23,26.893333435058594
2016-06-24,25.43000030517578
2016-06-27,24.200000762939453
2016-06-28,25.166667938232422
2016-06-29,26.066667556762695
2016-06-30,25.59666633605957
2016-07-01,25.633333206176758
2016-07-05,25.633333206176758
2016-07-06,25.39666748046875
2016-07-07,25.39666748046875
2016-07-08,25.39666748046875
2016-07-11,27.413333892822266
2016-07-12,27.690000534057617
2016-07-13,27.463333129882812
2016-07-14,27.583332061767578
2016-07-15,27.383333206176758
2016-07-18,27.43000030517578
2016-07-19,27.023332595825195
2016-07-20,27.613332748413086
2016-07-21,27.049999237060547
2016-07-22,27.049999237060547
2016-07-25,27.049999237060547
2016-07-26,27.110000610351562
2016-07-27,27.110000610351562
